Date,Cnc_Program_Name_RT,Cnc_Tool_Number_RT,System_IOLINK_CounterweightPressure,Axis_FeedRate_actual,Axis_Y_positionActualMCS_mm_d10000,System_IOLINK_HydraulicPressure,Axis_Y_power_percent,System_isHydraulicsOn,Axis_Z_positionActualMCS_mm_d10000,Axis_Z_power_percent,Cnc_Override_Axis
2020-05-17T06:57:01.685Z,contrapeso.H,0,169,0,7872995,146,13,1,14878923,0,100
2020-05-17T06:57:02.685Z,contrapeso.H,0,169,0,7872995,150,13,1,14878923,0,100
2020-05-17T06:57:03.685Z,contrapeso.H,0,169,0,7872996,155,13,1,14878923,0,100
2020-05-17T06:57:04.685Z,contrapeso.H,0,169,0,7872995,160,12,1,14878923,0,100
2020-05-17T06:57:05.685Z,contrapeso.H,0,169,0,7872995,165,12,1,14878923,0,100
2020-05-17T06:57:06.685Z,contrapeso.H,0,169,0,7872996,169,12,1,14878923,0,100
2020-05-17T06:57:07.685Z,contrapeso.H,0,169,0,7872995,168,12,1,14878923,0,100
2020-05-17T06:57:08.685Z,contrapeso.H,0,169,0,7872995,167,12,1,14878923,0,100
2020-05-17T06:57:09.685Z,contrapeso.H,0,169,0,7872995,165,12,1,14878923,0,100
2020-05-17T06:57:10.686Z,contrapeso.H,0,169,0,7872996,164,12,1,14878923,0,100
2020-05-17T06:57:11.685Z,contrapeso.H,0,169,0,7872996,163,12,1,14878923,0,100
2020-05-17T06:57:12.685Z,contrapeso.H,0,169,0,7872995,162,12,1,14878923,0,100
2020-05-17T06:57:13.685Z,contrapeso.H,0,169,0,7872995,160,12,1,14878923,0,100
2020-05-17T06:57:14.685Z,contrapeso.H,0,169,0,7872995,159,12,1,14878923,0,100
2020-05-17T06:57:15.685Z,contrapeso.H,0,169,0,7872995,158,12,1,14878923,0,100
2020-05-17T06:57:16.686Z,contrapeso.H,0,169,0,7872996,157,12,1,14878923,0,100
2020-05-17T06:57:17.685Z,contrapeso.H,0,169,0,7872995,156,12,1,14878923,0,100
