,Date;Cnc_Program_Name_RT;Cnc_Tool_Number_RT;System_IOLINK_CounterweightPressure;Axis_FeedRate_actual;Axis_Y_positionActualMCS_mm_d10000;System_IOLINK_HydraulicPressure;Axis_Y_power_percent;System_isHydraulicsOn;Axis_Z_positionActualMCS_mm_d10000;Axis_Z_power_percent;Cnc_Override_Axis;Target
0,2020-05-16T12:27:13.148Z;contrapeso_1000.H;0;169;0;7872995;155;14;1;14878923;0;100;0
1,2020-05-16T12:27:14.148Z;contrapeso_1000.H;0;169;0;7872995;169;13;1;14878923;0;100;0
2,2020-05-16T12:27:15.148Z;contrapeso_1000.H;0;169;0;7872995;168;13;1;14878923;0;100;0
3,2020-05-16T12:27:16.148Z;contrapeso_1000.H;0;169;0;7872995;168;13;1;14878923;0;100;0
4,2020-05-16T12:27:17.148Z;contrapeso_1000.H;0;169;0;7872995;166;12;1;14878923;0;100;0
5,2020-05-16T12:27:18.148Z;contrapeso.H;0;169;0;7872996;165;12;1;14878923;0;100;0
6,2020-05-16T12:27:19.148Z;contrapeso.H;0;169;0;7872995;164;12;1;14878923;0;100;0
7,2020-05-16T12:27:20.148Z;contrapeso.H;0;169;0;7872995;162;12;1;14878923;0;100;0
8,2020-05-16T12:27:21.148Z;contrapeso.H;0;169;0;7872996;161;12;1;14878923;0;100;0
9,2020-05-16T12:27:22.148Z;contrapeso.H;0;169;0;7872995;160;12;1;14878923;0;100;0
10,2020-05-16T12:27:23.148Z;contrapeso.H;0;169;0;7872995;159;12;1;14878923;0;100;0
11,2020-05-16T12:27:24.148Z;contrapeso.H;0;169;0;7872995;158;12;1;14878923;0;100;0
12,2020-05-16T12:27:25.148Z;contrapeso.H;0;169;0;7872995;157;12;1;14878923;0;100;0
13,2020-05-16T12:27:26.148Z;contrapeso.H;0;169;0;7872995;155;12;1;14878923;0;100;0
14,2020-05-16T12:27:27.148Z;contrapeso.H;0;169;0;7872996;154;12;1;14878923;0;100;0
15,2020-05-16T12:27:28.148Z;contrapeso.H;0;169;0;7872995;153;12;1;14878923;0;100;0
16,2020-05-16T12:27:29.148Z;contrapeso.H;0;169;0;7872995;152;12;1;14878923;0;100;0
17,2020-05-16T12:27:30.148Z;contrapeso.H;0;169;0;7872995;151;12;1;14878923;0;100;0
18,2020-05-16T12:27:31.148Z;contrapeso.H;0;169;0;7872996;150;11;1;14878923;0;100;0
19,2020-05-16T12:27:32.148Z;contrapeso.H;0;169;0;7872995;149;11;1;14878923;0;100;0
20,2020-05-16T12:27:33.148Z;contrapeso.H;0;169;0;7872995;148;11;1;14878923;0;100;0
21,2020-05-16T12:27:34.148Z;contrapeso.H;0;169;0;7872995;147;11;1;14878923;0;100;0
22,2020-05-16T12:27:35.148Z;contrapeso.H;0;169;0;7872995;146;11;1;14878923;0;100;0
23,2020-05-16T12:27:36.148Z;contrapeso.H;0;169;0;7872995;146;11;1;14878923;0;100;0
24,2020-05-16T12:27:37.148Z;contrapeso.H;0;169;0;7872996;145;11;1;14878923;0;100;0
25,2020-05-16T12:27:38.148Z;contrapeso.H;0;169;0;7872995;146;11;1;14878923;0;100;0
26,2020-05-16T12:27:39.148Z;contrapeso.H;0;169;0;7872995;150;11;1;14878923;0;100;0
27,2020-05-16T12:27:40.148Z;contrapeso.H;0;169;0;7872995;155;11;1;14878923;0;100;0
28,2020-05-16T12:27:41.148Z;contrapeso.H;0;170;0;7872996;159;11;1;14878923;0;100;0
29,2020-05-16T12:27:42.148Z;contrapeso.H;0;169;0;7872995;164;11;1;14878923;0;100;0
30,2020-05-16T12:27:43.148Z;contrapeso.H;0;170;0;7872995;169;11;1;14878923;0;100;0
31,2020-05-16T12:27:44.148Z;contrapeso.H;0;170;0;7872995;168;11;1;14878923;0;100;0
32,2020-05-16T12:27:45.148Z;contrapeso.H;0;170;0;7872995;166;11;1;14878923;0;100;0
33,2020-05-16T12:27:46.148Z;contrapeso.H;0;170;0;7872995;165;11;1;14878923;0;100;0
34,2020-05-16T12:27:47.148Z;contrapeso.H;0;170;0;7872995;164;11;1;14878923;0;100;0
35,2020-05-16T12:27:48.148Z;contrapeso.H;0;170;0;7872995;162;11;1;14878923;0;100;0
36,2020-05-16T12:27:49.148Z;contrapeso.H;0;170;0;7872995;161;11;1;14878923;0;100;0
37,2020-05-16T12:27:50.148Z;contrapeso.H;0;170;0;7872995;160;11;1;14878923;0;100;0
38,2020-05-16T12:27:51.148Z;contrapeso.H;0;170;0;7872995;159;11;1;14878923;0;100;0
39,2020-05-16T12:27:52.148Z;contrapeso.H;0;170;0;7872995;158;11;1;14878923;0;100;0
