Date,Cnc_Program_Name_RT,Cnc_Tool_Number_RT,System_IOLINK_CounterweightPressure,Axis_FeedRate_actual,Axis_Y_positionActualMCS_mm_d10000,System_IOLINK_HydraulicPressure,Axis_Y_power_percent,System_isHydraulicsOn,Axis_Z_positionActualMCS_mm_d10000,Axis_Z_power_percent,Cnc_Override_Axis;;
2020-05-17T07:49:27.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,164,12,1,14878923,0,100;;69a7c086b68f4739e4aec3025438900447bf592188dcbd7c78bddc0929188587
2020-05-17T07:49:28.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,163,12,1,14878923,0,100;;
2020-05-17T07:49:29.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,162,12,1,14878923,0,100;;
2020-05-17T07:49:30.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,160,12,1,14878923,0,100;;
2020-05-17T07:49:31.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,159,12,1,14878923,0,100;;
2020-05-17T07:49:32.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,158,12,1,14878923,0,100;;
2020-05-17T07:49:33.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,157,12,1,14878923,0,100;;
2020-05-17T07:49:34.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,156,12,1,14878923,0,100;;
2020-05-17T07:49:35.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,155,12,1,14878923,0,100;;
2020-05-17T07:49:36.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,154,12,1,14878923,0,100;;
2020-05-17T07:49:37.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,153,12,1,14878923,0,100;;
2020-05-17T07:49:38.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,152,12,1,14878923,0,100;;
